"название","активность","Сорт.","Дата изм.","id","дата","Среды разработки","Уровень знаний"
User:4021,Да,500,"15.11.2023 18:34:06",305917,"15.11.2023",Eclipse [115692],Использовал на проекте [283045]
User:4021,Да,500,"15.11.2023 18:34:06",305918,"15.11.2023",IntelliJ IDEA [115694],Использовал на проекте [283045]
User:4021,Да,500,"15.11.2023 18:34:06",305919,"15.11.2023",Microsoft Visual Studio [115690],Senior [115640]
User:4021,Да,500,"15.11.2023 18:34:06",305920,"15.11.2023",NetBeans [115691],Использовал на проекте [283045]
User:4021,Да,500,"15.11.2023 18:34:06",305921,"15.11.2023",PyCharm [115693],Senior [115640]
User:4363,Да,500,"14.11.2023 13:38:10",305536,"14.11.2023",Eclipse [115692],Novice [115637]
User:4363,Да,500,"14.11.2023 13:38:10",305537,"14.11.2023",IntelliJ IDEA [115694],Middle [115639]
User:4363,Да,500,"14.11.2023 13:38:10",305538,"14.11.2023",Microsoft Visual Studio [115690],Junior [115638]
User:4363,Да,500,"14.11.2023 13:38:10",305539,"14.11.2023",PyCharm [115693],Junior [115638]
User:4559,Да,500,"10.11.2023 11:38:38",305046,"10.11.2023",IntelliJ IDEA [115694],Middle [115639]
User:4190,Да,500,"09.11.2023 17:58:03",304845,"09.11.2023",Microsoft Visual Studio [115690],Использовал на проекте [283045]
User:4190,Да,500,"09.11.2023 17:58:03",304846,"09.11.2023",IntelliJ IDEA [115694],Использовал на проекте [283045]
User:3738,Да,500,"23.10.2023 12:02:18",302373,"23.10.2023",Другое [115695],Middle [115639]
User:3738,Да,500,"23.10.2023 12:02:18",302374,"23.10.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4515,Да,500,"23.10.2023 11:25:01",302349,"01.10.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4515,Да,500,"23.10.2023 11:25:00",302348,"01.10.2023",IntelliJ IDEA [115694],Middle [115639]
User:4482,Да,500,"27.09.2023 15:09:34",298912,"01.01.2018",Microsoft Visual Studio [115690],Senior [115640]
User:4482,Да,500,"27.09.2023 15:09:34",298913,"01.01.2018",NetBeans [115691],Novice [115637]
User:4482,Да,500,"27.09.2023 15:09:34",298914,"01.01.2018",PyCharm [115693],Novice [115637]
User:4474,Да,500,"13.09.2023 11:42:29",296917,"01.09.2007",Eclipse [115692],Middle [115639]
User:4286,Да,500,"09.09.2023 13:44:57",296364,"09.09.2023",IntelliJ IDEA [115694],Middle [115639]
User:4286,Да,500,"09.09.2023 13:44:57",296365,"09.09.2023",PyCharm [115693],Middle [115639]
User:4428,Да,500,"08.09.2023 11:56:44",296204,"08.09.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4395,Да,500,"07.09.2023 19:40:34",296077,"07.09.2023",Microsoft Visual Studio [115690],Senior [115640]
User:4395,Да,500,"07.09.2023 19:40:34",296078,"07.09.2023",PyCharm [115693],Expert [115641]
User:4395,Да,500,"07.09.2023 19:40:34",296079,"07.09.2023",Другое [115695],Senior [115640]
User:3284,Да,500,"06.09.2023 09:33:36",295760,"06.09.2023",Microsoft Visual Studio [115690],Middle [115639]
User:3282,Да,500,"03.09.2023 00:13:11",295139,"31.08.2023",PyCharm [115693],Junior [115638]
User:3282,Да,500,"03.09.2023 00:13:11",295141,"31.08.2023",IntelliJ IDEA [115694],Junior [115638]
User:3282,Да,500,"03.09.2023 00:13:11",295143,"31.08.2023",Другое [115695],Middle [115639]
User:3282,Да,500,"03.09.2023 00:13:11",295144,"31.08.2023",Другое [115695],Senior [115640]
User:946,Да,500,"01.09.2023 14:55:05",294996,"01.01.2018",IntelliJ IDEA [115694],Middle [115639]
User:4299,Да,500,"30.08.2023 20:53:18",294661,"30.08.2023",IntelliJ IDEA [115694],Expert [115641]
User:4299,Да,500,"30.08.2023 20:53:17",294651,"30.08.2023",PyCharm [115693],Expert [115641]
User:4341,Да,500,"30.08.2023 13:27:27",294550,"30.08.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4341,Да,500,"30.08.2023 13:27:27",294552,"30.08.2023",Другое [115695],Middle [115639]
User:2767,Да,500,"29.08.2023 19:21:56",294377,"29.08.2023",Eclipse [115692],Junior [115638]
User:4260,Да,500,"28.08.2023 19:39:02",293983,"28.08.2023",IntelliJ IDEA [115694],Senior [115640]
User:4260,Да,500,"28.08.2023 19:39:02",293984,"28.08.2023",PyCharm [115693],Senior [115640]
User:4260,Да,500,"28.08.2023 19:39:02",293985,"28.08.2023",Microsoft Visual Studio [115690],Middle [115639]
User:1142,Да,500,"28.08.2023 17:41:38",293908,"28.08.2023",Microsoft Visual Studio [115690],""
User:3572,Да,500,"07.08.2023 16:29:39",290827,"07.08.2023",PyCharm [115693],Junior [115638]
User:1459,Да,500,"07.08.2023 09:49:16",290673,"21.11.2021",Microsoft Visual Studio [115690],Middle [115639]
User:1459,Да,500,"07.08.2023 09:49:16",290674,"21.11.2021",PyCharm [115693],Middle [115639]
User:4109,Да,500,"07.08.2023 02:29:47",290647,"04.08.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3691,Да,500,"04.08.2023 14:52:22",290526,"04.08.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3691,Да,500,"04.08.2023 14:52:22",290527,"04.08.2023",PyCharm [115693],Junior [115638]
User:4377,Да,500,"04.08.2023 12:24:30",290449,"04.08.2023",PyCharm [115693],Middle [115639]
User:4377,Да,500,"04.08.2023 12:24:30",290450,"04.08.2023",Другое [115695],Middle [115639]
User:4377,Да,500,"04.08.2023 12:24:30",290451,"04.08.2023",Другое [115695],Senior [115640]
User:4342,Да,500,"31.07.2023 16:18:56",289863,"05.07.2021",IntelliJ IDEA [115694],Middle [115639]
User:4342,Да,500,"31.07.2023 16:18:56",289864,"14.07.2021",PyCharm [115693],Expert [115641]
User:4361,Да,500,"21.07.2023 11:39:50",288438,"02.07.2017",Eclipse [115692],Middle [115639]
User:4361,Да,500,"21.07.2023 11:39:50",288439,"02.07.2018",IntelliJ IDEA [115694],Middle [115639]
User:4361,Да,500,"21.07.2023 11:39:50",288440,"02.07.2000",Microsoft Visual Studio [115690],Middle [115639]
User:3728,Да,500,"20.07.2023 23:09:52",280685,"01.07.2023",PyCharm [115693],Middle [115639]
User:3841,Да,500,"20.07.2023 17:07:55",288213,"01.01.2022",PyCharm [115693],Junior [115638]
User:3774,Да,500,"20.07.2023 15:15:52",288113,"01.01.2020",Microsoft Visual Studio [115690],Junior [115638]
User:3631,Да,500,"20.07.2023 13:48:40",288027,"20.07.2023",IntelliJ IDEA [115694],Novice [115637]
User:1076,Да,500,"20.07.2023 13:24:56",287979,"24.07.2023",Microsoft Visual Studio [115690],Junior [115638]
User:1643,Да,500,"20.07.2023 11:58:29",287903,"03.09.2018",Microsoft Visual Studio [115690],Middle [115639]
User:1643,Да,500,"20.07.2023 11:58:29",287905,"03.09.2018",IntelliJ IDEA [115694],Junior [115638]
User:1643,Да,500,"20.07.2023 11:58:29",287906,"05.12.2022",PyCharm [115693],Junior [115638]
User:3581,Да,500,"20.07.2023 11:21:57",287832,"20.07.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3581,Да,500,"20.07.2023 11:21:57",287833,"20.07.2023",PyCharm [115693],Middle [115639]
User:3991,Да,500,"20.07.2023 10:28:04",287716,"01.10.2019",PyCharm [115693],Middle [115639]
User:4015,Да,500,"19.07.2023 19:23:08",287609,"19.07.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3577,Да,500,"18.07.2023 17:09:01",287220,"01.03.2021",PyCharm [115693],""
User:3516,Да,500,"18.07.2023 14:15:47",287099,"17.07.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3516,Да,500,"18.07.2023 14:15:47",287100,"17.07.2023",PyCharm [115693],Junior [115638]
User:3971,Да,500,"17.07.2023 14:36:14",286775,"17.07.2023",Другое [115695],Expert [115641]
User:4378,Да,500,"17.07.2023 07:42:22",283681,"17.07.2023",IntelliJ IDEA [115694],Middle [115639]
User:4188,Да,500,"16.07.2023 18:47:11",283547,"16.07.2023",Microsoft Visual Studio [115690],Novice [115637]
User:3790,Да,500,"16.07.2023 15:18:30",283518,"16.07.2023",NetBeans [115691],Junior [115638]
User:3790,Да,500,"16.07.2023 15:18:30",283519,"16.07.2023",Другое [115695],Senior [115640]
User:3619,Да,500,"10.07.2023 12:45:31",282659,"03.06.2022",PyCharm [115693],Middle [115639]
User:1062,Да,500,"05.07.2023 18:51:12",281811,"01.01.2018",IntelliJ IDEA [115694],Senior [115640]
User:1062,Да,500,"05.07.2023 18:51:12",281812,"01.01.2020",Microsoft Visual Studio [115690],Senior [115640]
User:1062,Да,500,"05.07.2023 18:51:12",281813,"01.01.2020",PyCharm [115693],Senior [115640]
User:3731,Да,500,"04.07.2023 15:47:06",281540,"04.07.2023",IntelliJ IDEA [115694],Expert [115641]
User:3731,Да,500,"04.07.2023 15:47:06",281541,"04.07.2023",PyCharm [115693],Senior [115640]
User:1283,Да,500,"04.07.2023 14:12:50",281479,"28.11.2022",Microsoft Visual Studio [115690],Middle [115639]
User:4082,Да,500,"04.07.2023 11:13:03",281381,"04.07.2023",IntelliJ IDEA [115694],Junior [115638]
User:3420,Да,500,"04.07.2023 11:10:32",281366,"04.07.2023",IntelliJ IDEA [115694],Senior [115640]
User:3420,Да,500,"04.07.2023 11:10:28",281365,"04.07.2023",IntelliJ IDEA [115694],Senior [115640]
User:3958,Да,500,"04.07.2023 10:07:15",281335,"31.03.2022",IntelliJ IDEA [115694],Middle [115639]
User:2863,Да,500,"03.07.2023 18:32:10",281209,"03.07.2023",IntelliJ IDEA [115694],Middle [115639]
User:2863,Да,500,"03.07.2023 18:32:10",281211,"03.07.2023",PyCharm [115693],Middle [115639]
User:2863,Да,500,"03.07.2023 18:32:10",281212,"03.07.2023",Microsoft Visual Studio [115690],Junior [115638]
User:2863,Да,500,"03.07.2023 18:31:50",281210,"03.07.2023",PyCharm [115693],Junior [115638]
User:3496,Да,500,"03.07.2023 17:09:58",281175,"01.11.2017",Microsoft Visual Studio [115690],Middle [115639]
User:4031,Да,500,"03.07.2023 12:53:35",281074,"01.07.2023",PyCharm [115693],Expert [115641]
User:3817,Да,500,"03.07.2023 10:57:52",281007,"04.04.2016",Microsoft Visual Studio [115690],Middle [115639]
User:3860,Да,500,"03.07.2023 10:56:43",281002,"03.07.2023",Microsoft Visual Studio [115690],Novice [115637]
User:3860,Да,500,"03.07.2023 10:56:43",281003,"03.07.2023",PyCharm [115693],Junior [115638]
User:4026,Да,500,"30.06.2023 17:00:17",280770,"30.06.2023",IntelliJ IDEA [115694],Junior [115638]
User:4026,Да,500,"30.06.2023 17:00:17",280773,"30.06.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4026,Да,500,"30.06.2023 17:00:15",280772,"30.06.2023",Microsoft Visual Studio [115690],Middle [115639]
User:3715,Да,500,"30.06.2023 16:30:36",280747,"01.09.2018",Microsoft Visual Studio [115690],Junior [115638]
User:3560,Да,500,"30.06.2023 15:59:14",178729,"30.06.2023",Microsoft Visual Studio [115690],Middle [115639]
User:3560,Да,500,"30.06.2023 15:59:14",178730,"30.06.2023",NetBeans [115691],Middle [115639]
User:3560,Да,500,"30.06.2023 15:59:14",178731,"30.06.2023",Eclipse [115692],Junior [115638]
User:3560,Да,500,"30.06.2023 15:59:14",280718,"30.06.2023",IntelliJ IDEA [115694],Junior [115638]
User:3560,Да,500,"30.06.2023 15:59:14",280719,"30.06.2023",PyCharm [115693],Junior [115638]
User:3800,Да,500,"30.06.2023 15:58:39",280715,"01.01.2023",Другое [115695],Expert [115641]
User:4219,Да,500,"15.06.2023 18:31:50",278582,"11.01.2016",Microsoft Visual Studio [115690],Middle [115639]
User:4037,Да,500,"14.06.2023 15:40:24",278329,"14.06.2023",Eclipse [115692],Junior [115638]
User:4096,Да,500,"13.06.2023 17:15:19",278087,"12.06.2023",Eclipse [115692],Middle [115639]
User:4096,Да,500,"13.06.2023 17:15:19",278088,"12.06.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4096,Да,500,"13.06.2023 17:15:19",278089,"12.06.2023",PyCharm [115693],Middle [115639]
User:4096,Да,500,"13.06.2023 17:15:19",278090,"12.06.2023",Другое [115695],Expert [115641]
User:4217,Да,500,"13.06.2023 14:17:37",277989,"13.06.2023",Другое [115695],Senior [115640]
User:4217,Да,500,"13.06.2023 14:17:37",277990,"13.06.2023",Другое [115695],Senior [115640]
User:4217,Да,500,"13.06.2023 14:17:37",277991,"13.06.2023",Другое [115695],Middle [115639]
User:4110,Да,500,"08.06.2023 10:52:26",277631,"08.06.2023",PyCharm [115693],Junior [115638]
User:4110,Да,500,"08.06.2023 10:52:26",277632,"08.06.2023",Другое [115695],Middle [115639]
User:4110,Да,500,"08.06.2023 10:52:26",277633,"08.06.2023",Другое [115695],Middle [115639]
User:4178,Да,500,"07.06.2023 17:58:20",277480,"07.06.2023",Microsoft Visual Studio [115690],Middle [115639]
User:4148,Да,500,"31.05.2023 10:41:49",276388,"31.05.2023",Microsoft Visual Studio [115690],Junior [115638]
User:3514,Да,500,"18.05.2023 10:16:07",262520,"01.11.2022",PyCharm [115693],Junior [115638]
User:3514,Да,500,"18.05.2023 10:16:07",274640,"01.11.2022",Другое [115695],Junior [115638]
User:3514,Да,500,"18.05.2023 10:15:59",262519,"01.11.2022",Microsoft Visual Studio [115690],Middle [115639]
User:3909,Да,500,"11.05.2023 09:15:58",273655,"11.05.2023",Eclipse [115692],Junior [115638]
User:3909,Да,500,"11.05.2023 09:15:58",273656,"11.05.2023",Microsoft Visual Studio [115690],Junior [115638]
User:4303,Да,500,"05.05.2023 10:32:36",273296,"05.05.2023",PyCharm [115693],Senior [115640]
User:4229,Да,500,"29.01.2023 23:17:14",261271,"11.01.2019",IntelliJ IDEA [115694],Middle [115639]
User:898,Да,500,"12.01.2023 20:03:38",228600,"03.01.2022",PyCharm [115693],Junior [115638]
User:898,Да,500,"12.01.2023 20:03:38",259786,"03.01.2022",Другое [115695],Junior [115638]
User:3428,Да,500,"22.08.2022 14:15:43",236603,"22.08.2022",Другое [115695],""
User:771,Да,500,"15.08.2022 10:25:52",235372,"15.08.2022",Eclipse [115692],""
User:3591,Да,500,"15.07.2022 14:32:02",231358,"",Microsoft Visual Studio [115690],Junior [115638]
User:3591,Да,500,"15.07.2022 14:32:02",231359,"",PyCharm [115693],Junior [115638]
User:3252,Да,500,"07.07.2022 18:02:20",230577,"",IntelliJ IDEA [115694],Middle [115639]
User:3252,Да,500,"07.07.2022 18:02:20",230578,"",Microsoft Visual Studio [115690],Middle [115639]
User:2739,Да,500,"30.05.2022 18:22:45",225355,"",PyCharm [115693],Junior [115638]
User:3794,Да,500,"30.05.2022 17:23:05",225323,"",Microsoft Visual Studio [115690],Junior [115638]
User:3435,Да,500,"01.04.2022 10:40:10",215634,"",IntelliJ IDEA [115694],Expert [115641]
User:3435,Да,500,"01.04.2022 10:40:10",215637,"",Microsoft Visual Studio [115690],Expert [115641]
User:3435,Да,500,"01.04.2022 10:40:10",215638,"",NetBeans [115691],Expert [115641]
User:3435,Да,500,"01.04.2022 10:40:10",215639,"",Eclipse [115692],Expert [115641]
User:3435,Да,500,"01.04.2022 10:40:10",215640,"",Другое [115695],Senior [115640]
User:3435,Да,500,"01.04.2022 10:40:10",215641,"",Другое [115695],Senior [115640]
User:3744,Да,500,"25.03.2022 18:11:56",214633,"",IntelliJ IDEA [115694],Expert [115641]
User:1100,Да,500,"25.03.2022 00:33:56",214496,"",Microsoft Visual Studio [115690],Junior [115638]
User:1100,Да,500,"25.03.2022 00:33:56",214497,"",IntelliJ IDEA [115694],Junior [115638]
User:3363,Да,500,"24.03.2022 19:59:42",214478,"",PyCharm [115693],Junior [115638]
User:3827,Да,500,"28.01.2022 10:52:37",208037,"",PyCharm [115693],Junior [115638]
User:3827,Да,500,"28.01.2022 10:52:37",208038,"",Другое [115695],Middle [115639]
User:3470,Да,500,"22.11.2021 12:20:00",201059,"",NetBeans [115691],Novice [115637]
User:1211,Да,500,"05.10.2021 12:34:35",195838,"",PyCharm [115693],Middle [115639]
User:1211,Да,500,"05.10.2021 12:34:35",195839,"",Microsoft Visual Studio [115690],Middle [115639]
User:270,Да,500,"08.07.2021 10:38:59",187450,"",Microsoft Visual Studio [115690],Expert [115641]
User:3614,Да,500,"07.06.2021 17:30:18",184036,"",Microsoft Visual Studio [115690],Middle [115639]
User:3478,Да,500,"28.04.2021 11:37:28",179041,"",Microsoft Visual Studio [115690],Junior [115638]
User:3259,Да,500,"27.04.2021 20:54:13",178899,"",IntelliJ IDEA [115694],Middle [115639]
User:3310,Да,500,"27.04.2021 15:50:59",178798,"",PyCharm [115693],Expert [115641]
User:3310,Да,500,"27.04.2021 15:50:59",178799,"",IntelliJ IDEA [115694],Expert [115641]
User:3094,Да,500,"27.04.2021 15:50:15",178793,"",Microsoft Visual Studio [115690],Middle [115639]
User:3094,Да,500,"27.04.2021 15:50:15",178794,"",IntelliJ IDEA [115694],Junior [115638]
User:3560,Да,500,"27.04.2021 15:00:08",178732,"",IntelliJ IDEA [115694],Novice [115637]
User:3481,Да,500,"11.03.2021 12:11:59",150505,"",IntelliJ IDEA [115694],Junior [115638]
User:3481,Да,500,"11.03.2021 12:11:59",150506,"",Microsoft Visual Studio [115690],Junior [115638]
