"User ID","активность","Сорт.","Дата изм.","id","дата","Предментые области","Уровень знаний в предметной облас"
4363,Да,500,"14.11.2023 13:51:04",305547,"14.11.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
4363,Да,500,"14.11.2023 13:51:01",305546,"14.11.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
3738,Да,500,"23.10.2023 12:08:28",302383,"23.10.2023",Складская логистика [115748],Я знаю предметную область [115761]
3738,Да,500,"23.10.2023 12:08:28",302384,"23.10.2023",Документооборот [115756],Я знаю предметную область [115761]
1661,Да,500,"03.10.2023 18:44:05",299858,"03.10.2023",HR [115755],Я знаю предметную область [115761]
1661,Да,500,"03.10.2023 18:44:05",299859,"03.10.2023",Документооборот [115756],Я знаю предметную область [115761]
4492,Да,500,"18.09.2023 11:21:06",297601,"09.07.2021",Документооборот [115756],Я знаю все особенности предметной области и могу переложить это на систему [115762]
4492,Да,500,"18.09.2023 11:21:06",297602,"09.07.2021",Информационные технологии [115753],Я знаю все особенности предметной области и могу переложить это на систему [115762]
4510,Да,500,"12.09.2023 11:53:01",296730,"04.09.2023",Перевозки [115757],""
647,Да,500,"08.09.2023 15:05:55",296294,"08.09.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
647,Да,500,"08.09.2023 15:05:55",296295,"08.09.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
4395,Да,500,"07.09.2023 19:38:33",296073,"07.09.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
3512,Да,500,"01.09.2023 19:54:32",295059,"01.09.2023",E-commerce [115751],Я знаю предметную область [115761]
3512,Да,500,"01.09.2023 19:54:32",295060,"01.09.2023",HR [115755],Я знаю предметную область [115761]
3512,Да,500,"01.09.2023 19:54:32",295061,"01.09.2023",Информационные технологии [115753],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3512,Да,500,"01.09.2023 19:54:32",295062,"01.09.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
944,Да,500,"01.09.2023 18:28:07",295042,"01.09.2023",HR [115755],Я знаю предметную область [115761]
4299,Да,500,"30.08.2023 20:56:11",294669,"30.08.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4341,Да,500,"30.08.2023 13:23:05",294558,"30.08.2023",Документооборот [115756],Я знаю все особенности предметной области и могу переложить это на систему [115762]
2767,Да,500,"30.08.2023 11:22:43",294484,"29.08.2023",Управление цепочками поставок [115750],Я знаю предметную область [115761]
2767,Да,500,"30.08.2023 11:22:43",294488,"29.08.2023",Складская логистика [115748],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
2767,Да,500,"30.08.2023 11:21:40",294483,"29.08.2023",Складская логистика [115748],Я знаю все особенности предметной области и могу переложить это на систему [115762]
43,Да,500,"30.08.2023 10:28:19",294149,"29.08.2023",Складская логистика [115748],Я знаю предметную область [115761]
43,Да,500,"30.08.2023 10:28:19",294443,"30.08.2023",Управление цепочками поставок [115750],Я знаю предметную область [115761]
43,Да,500,"30.08.2023 10:28:19",294444,"30.08.2023",HR [115755],Я знаю предметную область [115761]
43,Да,500,"30.08.2023 10:28:19",294445,"30.08.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
43,Да,500,"30.08.2023 10:28:19",294446,"30.08.2023",Складская логистика [115748],Я знаю предметную область [115761]
43,Да,500,"30.08.2023 10:28:19",294447,"30.08.2023",Информационные технологии [115753],Я знаю предметную область [115761]
481,Да,500,"29.08.2023 13:58:30",294228,"29.08.2023",Складская логистика [115748],""
3778,Да,500,"29.08.2023 11:37:00",215277,"15.08.2023",Документооборот [115756],Я знаю все особенности предметной области и могу переложить это на систему [115762]
4324,Да,500,"28.08.2023 17:55:07",293939,"11.08.2023",Информационные технологии [115753],Я знаю предметную область [115761]
108,Да,500,"28.08.2023 17:48:21",293915,"01.01.2010",Складская логистика [115748],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
108,Да,500,"28.08.2023 17:48:21",293916,"01.01.2010",Транспортная логистика [115749],Я знаю предметную область [115761]
108,Да,500,"28.08.2023 17:48:21",293917,"01.01.2010",Управление цепочками поставок [115750],Я знаю все особенности предметной области и могу переложить это на систему [115762]
108,Да,500,"28.08.2023 17:48:21",293918,"01.01.2010",Информационные технологии [115753],Я знаю предметную область [115761]
108,Да,500,"28.08.2023 17:48:21",293919,"01.01.2010",Перевозки [115757],Я знаю предметную область [115761]
4040,Да,500,"28.08.2023 17:45:08",293914,"28.08.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
1142,Да,500,"28.08.2023 17:43:22",293913,"28.08.2023",Документооборот [115756],""
1612,Да,500,"28.08.2023 17:34:15",293891,"02.08.2010",Информационные технологии [115753],Я знаю предметную область [115761]
3098,Да,500,"15.08.2023 15:31:33",292093,"15.08.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
3098,Да,500,"15.08.2023 15:31:33",292094,"15.08.2023",Управление цепочками поставок [115750],Я знаю предметную область [115761]
382,Да,500,"09.08.2023 15:14:52",291229,"09.08.2023",Нефть и газ [115758],Я знаю предметную область [115761]
382,Да,500,"09.08.2023 15:14:52",291230,"09.08.2023",HR [115755],Я знаю предметную область [115761]
382,Да,500,"09.08.2023 15:14:52",291231,"09.08.2023",Закупки [115752],Я знаю предметную область [115761]
1459,Да,500,"07.08.2023 09:52:28",290688,"21.11.2021",Информационные технологии [115753],Я знаю предметную область [115761]
4377,Да,500,"04.08.2023 12:28:37",290462,"04.08.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4377,Да,500,"04.08.2023 12:28:37",290463,"04.08.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4377,Да,500,"04.08.2023 12:28:37",290464,"04.08.2023",E-commerce [115751],Я знаю предметную область [115761]
426,Да,500,"02.08.2023 14:18:18",290205,"05.08.2019",Складская логистика [115748],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4342,Да,500,"31.07.2023 16:30:20",289875,"05.04.2021","Банки, лизинг [115759]",Я знаю предметную область [115761]
4342,Да,500,"31.07.2023 16:30:20",289876,"28.07.2015",Информационные технологии [115753],Я знаю предметную область [115761]
1072,Да,500,"26.07.2023 17:51:45",235531,"20.07.2023",Строительство [115760],""
1072,Да,500,"26.07.2023 17:51:45",289393,"20.07.2023",Информационные технологии [115753],""
4387,Да,500,"25.07.2023 16:21:07",289143,"25.07.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
4361,Да,500,"21.07.2023 11:49:04",288456,"02.07.2010","Банки, лизинг [115759]",Я знаю предметную область [115761]
4361,Да,500,"21.07.2023 11:49:04",288457,"02.07.2004",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4361,Да,500,"21.07.2023 11:49:04",288458,"02.07.2021","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
4361,Да,500,"21.07.2023 11:49:04",288459,"02.07.2017",E-commerce [115751],Я знаю предметную область [115761]
1601,Да,500,"21.07.2023 11:26:19",237531,"29.08.2022",Информационные технологии [115753],""
1601,Да,500,"21.07.2023 11:26:19",237535,"29.08.2022",Нефть и газ [115758],""
4187,Да,500,"20.07.2023 17:21:56",288244,"20.07.2023",Перевозки [115757],Я знаю предметную область [115761]
4187,Да,500,"20.07.2023 17:21:56",288245,"20.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3841,Да,500,"20.07.2023 17:10:22",288216,"01.01.2018",Складская логистика [115748],Я знаю предметную область [115761]
3841,Да,500,"20.07.2023 17:10:22",288217,"01.01.2018",Управление цепочками поставок [115750],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3841,Да,500,"20.07.2023 17:10:22",288218,"01.03.2021","Банки, лизинг [115759]",Я знаю предметную область [115761]
3774,Да,500,"20.07.2023 15:28:14",288127,"01.01.2020",HR [115755],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3774,Да,500,"20.07.2023 15:28:14",288128,"01.01.2020",Информационные технологии [115753],Я знаю предметную область [115761]
3581,Да,500,"20.07.2023 11:24:50",287839,"20.07.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
3581,Да,500,"20.07.2023 11:24:50",287840,"20.07.2023",Нефть и газ [115758],Я знаю предметную область [115761]
1063,Да,500,"20.07.2023 11:01:15",287768,"20.07.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
1063,Да,500,"20.07.2023 11:01:15",287769,"20.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
2986,Да,500,"20.07.2023 10:52:45",287734,"20.07.2023",Документооборот [115756],Я знаю предметную область [115761]
2986,Да,500,"20.07.2023 10:52:45",287735,"20.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3640,Да,500,"20.07.2023 10:23:22",287713,"20.07.2020",Строительство [115760],Я знаю предметную область [115761]
3640,Да,500,"20.07.2023 10:23:22",287714,"31.12.2018",Закупки [115752],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3642,Да,500,"19.07.2023 17:50:19",287569,"20.09.2019",Нефть и газ [115758],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3642,Да,500,"19.07.2023 17:50:19",287570,"20.07.2021",Транспортная логистика [115749],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3619,Да,500,"19.07.2023 15:48:19",287500,"21.11.2022",Складская логистика [115748],Я знаю предметную область [115761]
3516,Да,500,"18.07.2023 14:17:29",287104,"17.07.2023",HR [115755],Я знаю предметную область [115761]
3516,Да,500,"18.07.2023 14:17:29",287105,"17.07.2023",Закупки [115752],Я знаю предметную область [115761]
3516,Да,500,"18.07.2023 14:17:29",287106,"17.07.2023",E-commerce [115751],Я знаю предметную область [115761]
3811,Да,500,"17.07.2023 20:27:36",286873,"17.07.2023",Документооборот [115756],Я знаю предметную область [115761]
3811,Да,500,"17.07.2023 20:27:36",286874,"17.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3811,Да,500,"17.07.2023 20:27:36",286875,"17.07.2023",Нефть и газ [115758],Я знаю предметную область [115761]
3811,Да,500,"17.07.2023 20:27:36",286876,"17.07.2023",Строительство [115760],Я знаю предметную область [115761]
4240,Да,500,"17.07.2023 13:08:54",286729,"17.07.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
4240,Да,500,"17.07.2023 13:08:54",286730,"17.07.2023",Перевозки [115757],Я знаю предметную область [115761]
4378,Да,500,"17.07.2023 07:45:11",283690,"17.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4378,Да,500,"17.07.2023 07:45:11",283691,"17.07.2023","Маркетинг, реклама, PR [115754]",Я знаю предметную область [115761]
4378,Да,500,"17.07.2023 07:45:10",283689,"17.07.2023",E-commerce [115751],Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283528,"16.07.2023",E-commerce [115751],Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283529,"16.07.2023",HR [115755],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3790,Да,500,"16.07.2023 15:22:00",283530,"16.07.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283531,"16.07.2023",Закупки [115752],Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283532,"16.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283533,"16.07.2023",Нефть и газ [115758],Я знаю предметную область [115761]
3790,Да,500,"16.07.2023 15:22:00",283534,"16.07.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
3782,Да,500,"14.07.2023 16:53:05",283459,"14.07.2023",Перевозки [115757],Я знаю предметную область [115761]
1429,Да,500,"14.07.2023 06:22:15",283272,"14.07.2023",Перевозки [115757],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3629,Да,500,"11.07.2023 17:39:56",282929,"01.07.2010",Транспортная логистика [115749],Я знаю предметную область [115761]
3629,Да,500,"11.07.2023 17:39:56",282930,"01.07.2009",Закупки [115752],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3629,Да,500,"11.07.2023 17:39:56",282931,"01.07.2008",Складская логистика [115748],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3629,Да,500,"11.07.2023 17:39:56",282932,"01.07.2012",Информационные технологии [115753],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4267,Да,500,"10.07.2023 15:49:25",282699,"08.07.2023",Перевозки [115757],Я знаю предметную область [115761]
4267,Да,500,"10.07.2023 15:49:25",282700,"08.07.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
2797,Да,500,"08.07.2023 20:36:25",282295,"08.07.2023",Строительство [115760],Я знаю предметную область [115761]
2797,Да,500,"08.07.2023 20:36:25",282296,"08.07.2023",HR [115755],Я знаю предметную область [115761]
3629,Да,500,"06.07.2023 16:48:38",282021,"06.07.2023",Транспортная логистика [115749],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3731,Да,500,"04.07.2023 15:50:31",281551,"04.07.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
3731,Да,500,"04.07.2023 15:50:31",281552,"04.07.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3731,Да,500,"04.07.2023 15:50:31",281553,"04.07.2023",Перевозки [115757],Я знаю предметную область [115761]
3731,Да,500,"04.07.2023 15:50:31",281554,"04.07.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
1503,Да,500,"04.07.2023 15:48:52",281547,"04.07.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
1283,Да,500,"04.07.2023 14:14:46",281483,"28.11.2022",Документооборот [115756],Я знаю предметную область [115761]
1283,Да,500,"04.07.2023 14:14:46",281484,"28.11.2022",Информационные технологии [115753],Я знаю предметную область [115761]
3420,Да,500,"04.07.2023 11:16:57",281399,"04.07.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
3420,Да,500,"04.07.2023 11:16:57",281400,"04.07.2023",Информационные технологии [115753],Я знаю все особенности предметной области и могу переложить это на систему [115762]
4082,Да,500,"04.07.2023 11:09:40",281362,"04.07.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
2724,Да,500,"03.07.2023 17:34:10",281180,"03.07.2023",Закупки [115752],Я знаю все особенности предметной области и могу переложить это на систему [115762]
2724,Да,500,"03.07.2023 17:34:10",281182,"03.07.2023",HR [115755],Я знаю все особенности предметной области и могу переложить это на систему [115762]
2724,Да,500,"03.07.2023 17:34:10",281183,"03.07.2023",Складская логистика [115748],Я знаю все особенности предметной области и могу переложить это на систему [115762]
2724,Да,500,"03.07.2023 17:34:10",281184,"03.07.2023",Транспортная логистика [115749],Я знаю все особенности предметной области и могу переложить это на систему [115762]
4031,Да,500,"03.07.2023 12:55:15",281075,"01.07.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
3817,Да,500,"03.07.2023 11:08:31",281016,"16.10.2023",Информационные технологии [115753],Я знаю предметную область [115761]
3817,Да,500,"03.07.2023 11:08:31",281017,"14.07.2014",Документооборот [115756],Я знаю предметную область [115761]
3715,Да,500,"30.06.2023 16:35:18",280749,"01.09.2018",Информационные технологии [115753],Я знаю предметную область [115761]
3715,Да,500,"30.06.2023 16:35:18",280753,"01.09.2020","Банки, лизинг [115759]",Я знаю предметную область [115761]
3560,Да,500,"30.06.2023 16:02:06",178755,"30.06.2023",Транспортная логистика [115749],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3560,Да,500,"30.06.2023 16:02:06",178756,"30.06.2023",Перевозки [115757],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3560,Да,500,"30.06.2023 16:02:06",178757,"30.06.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
3560,Да,500,"30.06.2023 16:02:06",178758,"30.06.2023",Информационные технологии [115753],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3800,Да,500,"30.06.2023 16:00:13",280723,"01.01.2023",Документооборот [115756],Я знаю предметную область [115761]
4096,Да,500,"13.06.2023 17:13:58",278083,"12.06.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
4096,Да,500,"13.06.2023 17:13:58",278084,"12.06.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4217,Да,500,"13.06.2023 14:22:01",277993,"13.06.2023",Информационные технологии [115753],Я знаю предметную область [115761]
4217,Да,500,"13.06.2023 14:22:01",277994,"13.06.2023",Закупки [115752],Я знаю предметную область [115761]
4217,Да,500,"13.06.2023 14:22:01",277995,"13.06.2023",Транспортная логистика [115749],Я знаю предметную область [115761]
4217,Да,500,"13.06.2023 14:22:01",277996,"13.06.2023",Складская логистика [115748],Я знаю предметную область [115761]
4228,Да,500,"11.06.2023 14:39:08",277797,"11.06.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
4228,Да,500,"11.06.2023 14:39:08",277798,"31.05.2018",Документооборот [115756],Я знаю предметную область [115761]
4228,Да,500,"11.06.2023 14:39:08",277799,"31.05.2018",Строительство [115760],Я знаю предметную область [115761]
4228,Да,500,"11.06.2023 14:39:08",277800,"31.05.2018",Складская логистика [115748],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:22",277543,"07.06.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4188,Да,500,"07.06.2023 19:44:22",277544,"07.06.2023",Нефть и газ [115758],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:22",277545,"07.06.2023",Складская логистика [115748],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:14",277540,"07.06.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4188,Да,500,"07.06.2023 19:44:14",277541,"07.06.2023",Нефть и газ [115758],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:14",277542,"07.06.2023",Складская логистика [115748],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:10",277538,"07.06.2023",Нефть и газ [115758],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:10",277539,"07.06.2023",Складская логистика [115748],Я знаю предметную область [115761]
4188,Да,500,"07.06.2023 19:44:09",277537,"07.06.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4178,Да,500,"07.06.2023 18:02:27",277491,"07.06.2023","Банки, лизинг [115759]",Я знаю все особенности предметной области и могу переложить это на систему [115762]
4178,Да,500,"07.06.2023 18:02:27",277492,"07.06.2023",Информационные технологии [115753],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3143,Да,500,"01.06.2023 21:16:01",276760,"01.06.2023",Транспортная логистика [115749],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3143,Да,500,"01.06.2023 21:16:01",276761,"01.06.2023",Управление цепочками поставок [115750],Я знаю все особенности предметной области и могу переложить это на систему [115762]
3143,Да,500,"01.06.2023 21:16:01",276762,"01.06.2023",Складская логистика [115748],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
3143,Да,500,"01.06.2023 21:15:09",276759,"01.06.2023",Транспортная логистика [115749],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:18",276656,"26.04.2023",Нефть и газ [115758],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:18",276671,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:18",276672,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:16",276667,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:16",276668,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:16",276669,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:16",276670,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:15",276663,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:15",276664,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:15",276665,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:15",276666,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:11",276661,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:11",276662,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:08",276659,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:08",276660,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:05",276657,"29.05.2023",Закупки [115752],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4112,Да,500,"01.06.2023 13:27:05",276658,"29.05.2023",Строительство [115760],"Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4155,Да,500,"31.05.2023 17:05:38",276522,"31.05.2023","Банки, лизинг [115759]",Я знаю предметную область [115761]
4148,Да,500,"31.05.2023 10:38:39",276381,"31.05.2023","Банки, лизинг [115759]","Я знаю специфику предметной области, могу переложить на систему, убедить клиента и реализовать [115763]"
4198,Да,500,"19.05.2023 10:05:26",274854,"19.05.2023","Банки, лизинг [115759]",""
4198,Да,500,"19.05.2023 10:05:26",274855,"19.05.2023",Складская логистика [115748],""
3909,Да,500,"11.05.2023 09:24:22",273672,"11.05.2023",HR [115755],Я знаю предметную область [115761]
3909,Да,500,"11.05.2023 09:24:22",273673,"11.05.2023",Документооборот [115756],Я знаю предметную область [115761]
3909,Да,500,"11.05.2023 09:24:22",273674,"11.05.2023",Закупки [115752],Я знаю предметную область [115761]
3909,Да,500,"11.05.2023 09:24:22",273675,"11.05.2023",Складская логистика [115748],Я знаю предметную область [115761]
3909,Да,500,"11.05.2023 09:24:22",273676,"11.05.2023",Строительство [115760],Я знаю предметную область [115761]
